,place (country),place (city),latitude  degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,How many  people known with Covid-19 symptoms ,How many people known who couldn't access to hospital because of Covid,Access to healthcare (good/bad),fear of Covid (yes/no),"received help  (yes economical, yes sanitary, yes but not enough, no)","received help  (yes economical, yes sanitary, yes but not enough, no).1",Name of NGO or other who helped,Name of NGO who helped 2,Name of NGO who helped 3,"reported having left after the interview (no, yes to Libya, yes to Europe, tried to cross the sea but didn't succeed, yes to another city)"
0,,,,,,,,,,,,,,,,,,,,
1,Libya,Tripoli,32.0,52.0,"30,68",N,13.0,11.0,"14,86",E,,,,no,,,,,,tried to cross the sea but didn't succeed
2,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,,,,,,
3,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
4,Niger,Agadez,16.0,52.0,"39,2",N,7.0,54.0,"47,4",E,,,bad,yes,yes but not enough,yes economical,Red Cross,UNHCR,,yes to another city
5,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
6,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
7,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
8,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
9,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,,,,,,,,,,
10,Niger,Agadez,16.0,58.0,0,N,7.0,59.0,0,E,0.0,,,no,,,,,,
11,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,0.0,,bad,yes,yes but not enough,yes economical,State,,,
12,Tunisia,Tunis,36.0,59.0,"9,9",N,10.0,19.0,"46,2",E,0.0,1.0,bad,,yes but not enough,,citizens,,,
13,Tunisia,Tunis,36.0,50.0,"18,6",N,10.0,14.0,"42,6",E,0.0,,good,,yes economical,,UNHCR,,,
14,Tunisia,Tunis,36.0,48.0,3,N,10.0,19.0,48,E,0.0,,,,yes but not enough,,UNHCR,,,yes to Libya
15,Tunisia,Tunis,36.0,48.0,3,N,10.0,19.0,48,E,0.0,,,,yes but not enough,yes economical,UNHCR,"""help organisation""",,
16,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,,,,no,,,,,
17,Libya,Zawiya,32.0,45.0,16,N,12.0,43.0,37,E,0.0,,,,,,,,,tried to cross the sea but didn't succeed
18,Libya,Garabulli,32.0,44.0,"56,6",N,13.0,42.0,"57,7",E,,,,,,,,,,tried to cross the sea but didn't succeed
19,Libya,Tripoli,32.0,42.0,"30,68",N,13.0,11.0,"14,86",E,0.0,,bad,no,no,,,,,
20,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,0.0,,bad,,yes economical,,Cellule de solidatit afrricaine,,,
21,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,bad,yes,no,,,,,
22,Tunisia,Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,bad,yes,no,,,,,
23,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,,,,,,,,,,
24,Tunisia,Zarzis,33.0,30.0,0,N,11.0,7.0,0,E,0.0,,good,,,,,,,
