,Number of interview,Number of interviewee,How many people interviewe,interviewee (migrant/source person),"precision migrant (migrants, asylum seeker, refugee)","precision source person (Autorities, NGO, expert, other)",precision source person,place (country),place (city),"shelter precision (personal home, home rented by UNHCR, UNHCR foyer, UNHCR transit center ghetto, IOM center)",Ill (yes/no),How many  people known with Covid-19 symptoms ,How many people known who couldn't access to hospital because of Covid,Access to healthcare (good/bad),fear of Covid (yes/no),difficult economic situation due to lockdown (yes/no),"received help  (yes economical, yes sanitary, yes but not enough, no)","received help (yes economical, yes sanitary, yes but not enough, no)","received help  (yes economical, yes sanitary, yes but not enough, no).1",Name of NGO or other who helped,Name of NGO who helped 2,Name of NGO who helped 3,"willing to depart (no, legally to Europe, illegaly through Libya, illegaly through the sea in Tunisia, illegaly through Algeria, rerturn home)","reported having left after the interview (no, yes to Libya, yes to Europe, tried to cross the sea but didn't succeed, yes to another city)",precision
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.0,1.0,migrant,asylum seeker,,,Libya,Tripoli,personal home,No,,,,no,,,,,,,,no,tried to cross the sea but didn't succeed,Ready to leave but prefer to wait due to Corona in Europe
2,2.1,2.0,1.0,source person,,expert,researcher,Niger,Agadez,,No,0.0,,,no,,,,,,,,illegaly through Libya,,Migrants are stucked here. 1%  of the car departing to Libya are still leaving.
3,2.2,2.0,1.0,source person,,expert,researcher,Niger,Agadez,,No,,,,,,,,,,,,,,Borders with Algeria are only open once a month for marchandise. Migrants are still expeled from Algeria to Niger
4,3.1,3.0,1.0,migrant,asylum seeker,,,Niger,Agadez,UNHCR transit center,No,,,bad,yes,,yes but not enough,yes sanitary,yes economical,Red Cross,UNHCR,,legally to Europe,yes to another city,800 people in the camp. Huge fear of Covid-19. 
5,4.1,4.0,1.0,migrant,migrant,,,Niger,Agadez,,No,,,,,,,,,,,,return home,,waiting to have enough money to return. Feel stucked.
6,5.1,5.0,1.0,migrant,migrant,,,Niger,Agadez,ghetto,No,,,,,,,,,,,,no,,Outside the country it is not easy to travel.
7,6.1,6.0,1.0,migrant,migrant,,,Niger,Agadez,,No,,,,,yes,,,,,,,,,"""Les lieux de travail sont ferms, mme le restaurant est ferm"""
8,7.1,7.0,1.0,source person,,expert,journalist,Niger,Agadez,,No,,,,,,,,,,,,,,250 migrants were sent back from Libya to Niger.
9,8.1,8.0,1.0,source person,,Autorities,Prsident de la dlgation spciale d'Agadez,Niger,Agadez,,,,,,,,,,,,,,,,The 250 migrants were put in quarantine.
10,9.1,9.0,1.0,source person,,expert,journalist,Niger,Agadez,,No,0.0,,,no,,,,,,,,illegaly through Libya,,despite the Covid-19 people keep leaving using new roads (Zinder - Tahoua)
11,10.1,10.0,1.0,source person,,NGO,FTDES communication officer,Tunisia,Tunis,,No,0.0,,bad,yes,yes,yes but not enough,yes sanitary,yes economical,State,,,illegatly through the sea in Tunisia,,
12,11.1,11.0,7.0,migrant,asylum seeker,,,Tunisia,Tunis,home rented by UNHCR,No,0.0,1.0,bad,,no,yes but not enough,yes economical,,citizens,,,legally to Eurrope,,
13,12.1,12.0,1.0,source person,,NGO,UNHCR communication officer,Tunisia,Tunis,UNHCR office,No,0.0,,good,,yes,yes economical,yes sanitary,,UNHCR,,,,,
14,13.1,13.0,1.0,migrant,asylum seeker,,,Tunisia,Tunis,home rented by UNHCR,No,0.0,,,,,yes but not enough,yes sanitary,,UNHCR,,,,yes to Libya,Received a message from UNHCR about the virus.
15,14.1,14.0,1.0,migrant,asylum seeker,,,Tunisia,Tunis,home rented by UNHCR,No,0.0,,,,,yes but not enough,yes sanitary,yes economical,UNHCR,"""help organisation""",,,,Delay in the usual help from UNHCR
16,15.1,15.0,1.0,migrant,migrant,,,Tunisia,Zarzis,personal home,No,0.0,,,,yes,no,,,,,,illegaly,,"Didn't rerceived IOM tiquets. ""This corona! Me I don't understand anything! I don't understand. Before, nobody was taking care for us and now they are giving us tickets"". "
17,16.1,16.0,1.0,migrant,refugee,,,Libya,Zawiya,ghetto,Yes ,0.0,,,,,,,,,,,illegaly through Libya,tried to cross the sea but didn't succeed,Said later that he felt Covid-19 symptoms when he crossed the border between Tunisia and Libya.
18,16.2,16.0,1.0,migrant,refugee,,,Libya,Garabulli,ghetto,No,,,,,,,,,,,,illegaly through Libya,tried to cross the sea but didn't succeed,Called to ask about the Covid situation in Europe and help in the sea. Ready to depart. 
