,Event Date 1,Event Date 2,Event-Type 1,Event-Type 2,Event-Type 3,Event-Type 4,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
0,16-07-2020,,Movements,Health,,,,,,,,,,,,,,Departures,Arrivals through borders,,,,,,,,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
1,10-07-2020,,Social,,,,,,,,OSC actions,government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
2,01-03-2020,01-03-2020,Social,,,,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
3,01-01-2020,01-01-2020,Movements,,,,,,,,,,,,,,,Departure by sea,,,,,,,,,,,,,,236,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
4,01-01-2020,01-01-2020,Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,22-08-2020,Written press,Arabic,Tunis,TN-11,Tunisia
5,16-07-2020,16-07-2020,Social,,,,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,16-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
6,21-07-2020,21-07-2020,Movements,,,,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,21-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
7,08-07-2020,08-07-2020,Health,,,,infections,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,TN-42-Kasserine,35.0,10.0,0,N,8.0,50,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,09-07-2020,Written press,Arabic,Kasserine ,TN-42,Tunisia
8,15-07-2020,15-07-2020,Movements,,,,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
9,01-07-2020,01-07-2020,Social,,,,,,,,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-52-Monastir,35.0,46.0,0,N,10.0,51,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
10,28-08-2020,,Movements,,,,,,,,,,,,,,,Arrival by sea,,,,,,,,,,,,,,,,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,35.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,29-08-2020,Video,Arabic,Sicilia,IT-82,Italy
11,01-08-2020,,Movements,Health,Social,,infections,risk of infections,quarantine,,accomodation,,,,,,,Arrival by sea,,,,,,,,,,,250.0,,,,1000/240,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
12,15-08-2020,,Movements,Social,,,,,,,government actions,,,,,,,Departure by sea,Dying in sea,Rescued at sea,,,,,,,,,,45 (15 aout 2020) / 302 (2020),,7000,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
13,01-08-2020,,Movements,Health,Social,,infections,,,,accomodation,,,,,,,Arrival by sea,deportation,,,,,,,,,,,,,,6383,,,,,37,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-51-Sousse,35.0,50,,N,10.0,38.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,12-08-2020,Written press,Arabic,Roma,IT-RM,Italy
14,01-08-2020,,Movements,,,,,,,,,,,,,,,Departure by sea,Rescued at sea,Dying in sea,,,,,,,,,,3,,14,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,11.0,7,,E,TN-82-Mdenine => Ben Gardane,33.0,8,20,N,11.0,13.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,28-08-2020,Written press,Arabic,Mdenine,TN-82,Tunisia
15,01-08-2020,,Social,,,,,,,,NGOs actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,,,
16,17-08-2020,,Movements,Social,,,,,,,NGOs actions,,,,,,,Rescued at sea,Dying in sea,,,,,,,,,,,45 (aout2020)/302(2020),,7000 (2020) / 37 (aout2020),,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,20-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
17,24-03-2020,17-04-2020,Health,Social,,Security,infections,quarantine,access to health care,,government actions,NGOs actions,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,LY-MB-Al Marqab => Zlitan,32.0,27.0,50,N,14.0,34.0,21,E,LY-MB-Al Marqab => Khoms,32.0,38.0,59,N,14.0,15.0,52,E,Tunisia,23-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
18,01-04-2020,,Health,Social,,Security,infections,access to health care,,,NGOs actions,Details on lockdown,,,,,,,,,,,,Armed clashes,,,,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-ZA-Az Zawiyah,32.0,45,16,N,12.0,43.0,47,E,LY-ZA-Az Zawiyah => Sorman,32.0,45.0,24,N,12.0,34.0,18,E,LY-ZA-Az Zawiyah => Sabratha,32.0,47.0,32,N,12.0,29.0,3,E,Qatar,19-04-2020,Written press,Arabic,tripoli,LY-TB,Libya
19,01-08-2020,,Health,Social,,,quarantine,,,,NGOs actions,jobs,,,,,,,,,,,,,,,,,,300 (dbut 2020) 22 (avril2020),,104,,600362,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,LY-NQ-An Nuqat al Khams => Zuwara,32.0,56,,N,12.0,5.0,,E,,,,,,,,,,,,,,,,,,,Libya,25-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
20,01-05-2020,,Health,Social,Movements,Security,risk of infections,access to health care,,,Details on lockdown,government actions,,,,,,deportation,,,,,,Killings,Armed clashes,,,,,,,,,654000,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-ZA-Az Zawiyah,32.0,45.0,24,N,12.0,34.0,18,E,,,,,,,,,,UK,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
21,01-04-2020,,Movements,,,,,,,,,,,,,,,Arrival by sea,Rescued at sea,,,,,,,,,,,,,100,11000 (italy) / 300 (Lampedusa),,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,LY-TB-Tarabulus,32.0,52,"30,68",N,13.0,11.0,"14,86",E,TN-11-Tunis,36.0,48.0,3,N,10.0,10.0,48,E,,,,,,,,,,France,30-07-2020,Written press,Arabic,Sicilia,IT-82,Italy
22,01-05-2020,,Movements,Social,Health,Security,risk of infections,access to health care,,,Details on lockdown,,,,,,,deportation,Departure by sea,,,,,Killings,Armed clashes,,,,,,,,654000,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,LY-MI-Misratah,32.0,22.0,40,N,15.0,5.0,"24,5",E,LY-ZA-Az Zawiyah,32.0,47.0,32,N,12.0,29.0,3,E,France,08-05-2020,Written press,Arabic,tripoli,LY-TB,Libya
23,,,Social,Movements,,,,,,,government actions,,,,,,,Deportation,,,,,,,,,,,,,,,,,,,,entre 300 et 400,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,IT-RM-Roma,41.0,53,35,N,12.0,28.0,58,E,IT-82-Sicilia,37.0,35.0,"59,85",N,14.0,0.0,"55,36",E,TN-11-Tunis,36.0,48.0,3,N,10.0,10.0,48,E,Tunisia,04-08-2020,Written press,Arabic,Sfax,TN-61,Tunisia
24,2020-08-04,,Movements,Social,,,,,,,NGOs actions,,,,,,,Departure by sea,Rescued at sea,Dying in sea,,,,,,,,,,,,2100,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,04-08-2020,Written press,Arabic,tripoli,LY-TB,Libya
25,2020-07-11,,Health,Social,,,infections,quarantine,,,government actions,accomodation,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,IT-82-Sicilia,37.0,35.0,"59,85",N,14.0,0,"55,36",E,IT-MT-Matera,40.0,40,"11,39",N,16.0,35.0,"50,03",E,,,,,,,,,,,,,,,,,,,Tunisia,23-07-2020,Written press,Arabic,Sicilia,IT-82,Italy
26,2020-08-10,,Social,Movements,Health,,risk of infections,quarantine,,,government actions,jobs,,,,,,Departure by sea,Arrival by sea,deportation,,,,,,,,,,,,2918 (2020) / 2639 (2019)/ 84 (lybie),4077,,,,,80 par semaine,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,IT-82-Sicilia,35.0,31,,N,12.0,35.0,,E,TN-53-Mahdia,35.0,30.0,17,N,11.0,3.0,44,E,TN-61-Sfax,34.0,44.0,26,N,10.0,45.0,37,E,UK,06-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
27,01-06-2020,,Movements,Health,Social,,quarantine,,,,NGOs actions,,,,,,,Departure by sea,,,,,,,,,,,,,,2918,4077,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,TN-53-Mahdia,35.0,30,17,N,11.0,3.0,44,E,IT-RM-Roma,41.0,53.0,35,N,12.0,28.0,58,E,,,,,,,,,,Tunisia,06-08-2020,Video,Arabic,Sfax,TN-61,Tunisia
28,01-07-2020,,Movements,,,,,,,,,,,,,,,Departure by sea,deportation,,,,,,,,,,,,,6318,4077 (juillet 2020) / 5968 (aout2020)/ 6200 (2017),,,,,80 par semaine,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,,,,,,,,,,,,,,,,,,,Tunisia,06-08-2020,Video,Arabic,Roma,IT-RM,Italy
29,,,Movements,Social,,,,,,,government actions,,,,,,,Departure by sea,deportation,,,,,,,,,,,,,,700 / 11 191 (2020) ,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,12.0,35,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,07-08-2020,Written press,Arabic,Sicilia,IT-82,Italy
30,01-07-2020,,Movements,,,,,,,,,,,,,,,Departure by sea,,,,,,,,,,,,,,,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,TN-53-Mahdia,35.0,30,17,N,11.0,3.0,44,E,,,,,,,,,,,,,,,,,,,Tunisia,06-08-2020,Written press,Arabic,Sfax,TN-61,Tunisia
31,01-07-2020,,Movements,,,,,,,,,,,,,,,Departure by sea,deportation,,,,,,,,,,,,,,6000 (2017) / 3000 (2019),,,,,,IT-RM-Roma,41.0,53.0,35,N,12.0,28,58,E,TN-11-Tunis,36.0,48,3,N,10.0,10.0,48,E,,,,,,,,,,,,,,,,,,,France,2020-08-14,Video,Arabic,Roma,IT-RM,Italy
32,2020-08-28,,Movements,,,,,,,,,,,,,,,Departure by sea,deportation,,,,,,,,,,,,,,2675,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,,,,,,,,,,,,,,,,,,,Tunisia,2020-08-07,Written press,Arabic,Tunis,TN-11,Tunisia
