,Unnamed: 0,Unnamed: 0.1,Event Date 1,Event Date 2,Event-Type 1,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
0,0,0,16-07-2020,,Movements,,,,,,,,,,,,Departures,Arrivals through borders,,,,,,,,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
1,0,0,16-07-2020,Movements,Movements,,,,,,,,,,,,Departures,Arrivals through borders,,,,,,,,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
2,0,0,16-07-2020,Health,Movements,,,,,,,,,,,,Departures,Arrivals through borders,,,,,,,,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
3,1,1,10-07-2020,,Social,,,,,OSC actions,government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
4,1,1,10-07-2020,Social,Social,,,,,OSC actions,government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
5,2,2,01-03-2020,01-03-2020,Social,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
6,2,2,01-03-2020,Social,Social,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
7,3,3,01-01-2020,01-01-2020,Movements,,,,,,,,,,,,Departure by sea,,,,,,,,,,,,,,236,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
8,3,3,01-01-2020,Movements,Movements,,,,,,,,,,,,Departure by sea,,,,,,,,,,,,,,236,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
9,4,4,01-01-2020,01-01-2020,Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,22-08-2020,Written press,Arabic,Tunis,TN-11,Tunisia
