,Article ID,Unnamed: 0.1.1.1,Event Date,Event Type,Event-Type Precision,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
0,0,0,16-07-2020,Movements,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
1,0,0,16-07-2020,Movements,,,,,,,,20,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
4,0,0,16-07-2020,Departures,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
5,0,0,16-07-2020,Departures,,,,,,,,20,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
6,0,0,16-07-2020,Arrivals through borders,,,,,,,,20,,,,,TN-51-Sousse,35.0,50.0,0,N,10.0,38,0,E,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
7,0,0,16-07-2020,Arrivals through borders,,,,,,,,20,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Radio,Arabic,Sousse,TN-51,Tunisia
12,1,1,10-07-2020,Social,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
13,1,1,10-07-2020,Social,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
16,1,1,10-07-2020,OSC actions,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
17,1,1,10-07-2020,OSC actions,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
18,1,1,10-07-2020,government actions,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
19,1,1,10-07-2020,government actions,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
20,2,2,01-03-2020,Social,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
21,2,2,01-03-2020,Social,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
24,2,2,01-03-2020,accomodation,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
25,2,2,01-03-2020,accomodation,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,08-04-2020,Written press,Arabic,Tunis,TN-11,Tunisia
26,3,3,01-01-2020,Movements,,,,,,236,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
27,3,3,01-01-2020,Movements,,,,,,236,,,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
30,3,3,01-01-2020,Departure by sea,,,,,,236,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
31,3,3,01-01-2020,Departure by sea,,,,,,236,,,,,,E,,,,,,,,,E,Tunisia,17-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
32,4,4,01-01-2020,Movements,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,22-08-2020,Written press,Arabic,Tunis,TN-11,Tunisia
33,4,4,01-01-2020,Movements,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,22-08-2020,Written press,Arabic,Tunis,TN-11,Tunisia
36,5,5,16-07-2020,Social,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,Tunisia,16-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
