id-article-new,id-article,Event-id-country,Event-id-no-country,Event Date 1,Event Date 2,Event-Year,datetime precision,Event-Type 1,Event-Type 2,Event-Type 3,Event-Type 4,nbre-event-type,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of departed people by sea,Number of departed people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,Actors 1,Actors 2,Actors 3,,Sub-actors 1,Sub-actors 2,Sub-actors 3,Sub-actors 4,Sub-actors 5,Sub-actors 6,Sub-actors 7,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Geo-precision,Source-Country,Source-date,Source-Type,Language,Source-Name,Notes,Link to the press article,Notes / Quotes
A001TUN,A103,TUN,TUN103,16-07-2020,,2020,Yes,Movements,Health,,,1,,,,,,,,,,,,Departures,Arrivals through borders,,,,,,,,,,,,,,,20,,20,,,,,Migrants,Authorities,,,,,,,,,,TN-51-Sousse,35,50,0,N,10,38,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,17-07-2020,Radio,Arabic,Sabra Radio,???? ??????? ??????: ?????? ??? ???? ???? ?????? ???????? ?????? ??? ????? ?? ???????,https://www.radiosabrafm.net/%D9%85%D8%B7%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D9%81%D9%8A%D8%B6%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A-%D9%8A%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%A3%D9%88%D9%84-%D8%B1%D8%AD%D9%84%D8%A9-%D8%AE%D8%A7/?fbclid=IwAR2rPwWq9h1K0tQbhFWvmmtZrEaa-tO7OoNquYwuVpAOod3r6sNbRllvMko,
A002TUN,A104,TUN,TUN104,10-07-2020,,2020,Yes,Social,,,,1,,,,,OSC actions,government actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,OSC (Organisation of civil society),,,Governorate,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,17-07-2020,Written press,Arabic,Migrant news,????? ??????? ?? ????.. ??? ???????? ?? 22 ?????? ??????? ??????? ?? ???? ???????,https://www.infomigrants.net/ar/post/26096/%D8%B3%D8%A7%D8%A8%D9%82%D8%A9-%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A%D8%A9-%D9%81%D9%8A-%D8%AA%D9%88%D9%86%D8%B3-%D8%AD%D9%83%D9%85-%D8%A8%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D8%A7%D8%AC-%D8%B9%D9%86-22-%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D8%A7-%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7-%D9%85%D8%AD%D8%AA%D8%AC%D8%B2%D9%8A%D9%86-%D9%81%D9%8A-%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D9%88%D8%B1%D8%AF%D9%8A%D8%A9?fbclid=IwAR2AEYeJXLcQUMGGLdQ73B44mJCcVr-ds8xeGjUHn6DlMfNrc5tIgt1CYTE,
A003TUN,A105,TUN,TUN105,01-03-2020,01-03-2020,2020,No,Social,,,,1,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,,,,,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,08-04-2020,Written press,Arabic,Migrant news,???? ??????.. ??????? ?? ???? ?????? ?? ???? ?????? ??????? ?? ??????,https://www.infomigrants.net/ar/post/23960/%D8%A8%D8%B3%D8%A8%D8%A8-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D8%AD%D8%AA%D8%AC%D8%A7%D8%B2-%D9%81%D9%8A-%D8%AA%D9%88%D9%86%D8%B3-%D9%8A%D8%B9%D9%84%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%A5%D8%B6%D8%B1%D8%A7%D8%A8-%D8%B9%D9%86-%D8%A7%D9%84%D8%B7%D8%B9%D8%A7%D9%85,
A004TUN,A106,TUN,TUN106,01-01-2020,01-01-2020,2020,No,Movements,,,,1,,,,,,,,,,,,Departure by sea,,,,,,,,,,,,,,236,,,,,,,,,Migrants,,,,,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,17-07-2020,Written press,Arabic,Agence Tunis Afique Presse,"?????? ?????? ????? ?????? ?????? ????? ?????? ?????? ?? ???? ??????? ?????? (?????) 
",https://www.tap.info.tn/ar/%D9%88%D9%8A%D8%A8-%D8%B3%D9%8A%D8%AA-%D9%85%D8%AC%D8%AA%D9%85%D8%B9-Portal-Society/12892882-%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D8%AD%D8%A8%D8%A7%D8%B7?fbclid=IwAR0TferR9dQO1VQpxvvHL9DfLRMOGw8WbvaSljh-ps6W7eIuJ71SabgshG8,
A005TUN,A107,TUN,TUN107,01-01-2020,01-01-2020,2020,No,Movements,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,22-08-2020,Written press,Arabic,raseef 22,"??????? ?????? ""????? ?????"": ?? ???? ?????? ?????? ?? ???????? ?? ??????",https://raseef22.net/article/1079113-%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D9%88%D9%86-%D9%8A%D8%B1%D9%83%D8%A8%D9%88%D9%86-%D8%B2%D9%88%D8%A7%D8%B1%D9%82-%D8%A7%D9%84%D9%85%D9%88%D8%AA-%D9%87%D9%84-%D8%A3%D8%AE%D8%B4%D9%89-%D8%A7%D9%84%D8%BA%D8%B1%D9%82-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A3%D9%88-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D9%81%D9%8A-%D8%A8%D9%84%D8%A7%D8%AF%D9%8A,
A006TUN,A108,TUN,TUN108,16-07-2020,16-07-2020,2020,No,Social,,,,1,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,Authorities,,,,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,16-07-2020,Written press,Arabic,Nesma,??????: ????? ?????? ???? ????? 19 ?????? ????????? ??? ?????????,https://www.nessma.tv/ar/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%B7%D9%86%D9%8A%D8%A9/actu/%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D9%82%D8%B1%D9%8A%D8%A8%D8%A7-%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD-%D9%85%D8%B1%D9%83%D8%B2-%D9%83%D9%88%D9%81%D9%8A%D8%AF-19-%D9%84%D8%A5%D9%8A%D9%88%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%8A%D9%86-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85%D9%8A%D9%8A%D9%86/233329,
A007TUN,A109,TUN,TUN109,21-07-2020,21-07-2020,2020,Yes,Movements,,,,1,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,Migrants,NGO (Non Governmental Organisation),,,IOM,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,Tunisia,21-07-2020,Written press,Arabic,Tunivision.net,??????? ???? ??????? ??????? ????????? ???? ?????? ?????? ???? ????,https://ar.tunivisions.net/100093/%D8%A5%D9%8A%D8%B7%D8%A7%D9%84%D9%8A%D8%A7-%D8%AA%D8%B1%D8%B5%D8%AF-%D8%A3%D9%85%D9%88%D8%A7%D9%84%D9%8B%D8%A7-%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A/,
A008TUN,A110,TUN,TUN110,08-07-2020,08-07-2020,2020,Yes,Health,,,,1,infections,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,Migrants,,,,,,,,,,,TN-42-Kasserine,35,10,0,N,8,50,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sure,Tunisia,09-07-2020,Written press,Arabic,Arabesque,??????? : 4 ?????? ?????? ?????? ?? ???? ??????? ?????,https://www.arabesque.tn/ar/article/69249/%D8%A7%D9%84%D9%82%D8%B5%D8%B1%D9%8A%D9%86-4-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A8%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D9%81%D9%8A-%D8%B5%D9%81%D9%88%D9%81-%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%8A%D9%86-%D8%A3%D8%AC%D8%A7%D9%86%D8%A8,
A009TUN,A111,TUN,TUN111,15-07-2020,15-07-2020,2020,No,Movements,,,,1,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,Migrants,,,,,,,,,,,TN-11-Tunis,36,48,3,N,10,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately,France,19-07-2020,Written press,Arabic,France 24,"?????-19 ????? ????? ?????????? ???????? ?? ?????? ???????? ????? 

",https://www.france24.com/ar/20200719-%D9%83%D9%88%D9%81%D9%8A%D8%AF-19-%D9%8A%D8%B9%D8%B1%D9%82%D9%84-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D9%82%D9%8A%D9%85%D9%8A%D9%86-%D9%81%D9%8A-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7-%D9%84%D8%A8%D9%84%D8%AF%D8%A7%D9%86%D9%87%D9%85-%D8%B5%D9%8A%D9%81%D8%A7%D9%8B,
A010TUN,A112,TUN,TUN112,01-07-2020,01-07-2020,2020,No,Social,,,,1,,,,,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migrants,,,,,,,,,,,TN-52-Monastir,35,46,0,N,10,51,0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sure,Tunisia,01-07-2020,Radio,Arabic,Shams FM,???? ????? ?????: ????????? ????????? ??? ?????? ??????? ???? ???????? ??????? ?????? ???? ??????,https://www.shemsfm.net/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1_%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%AA%D9%88%D9%86%D8%B3_%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9/254446/%D9%84%D8%AC%D9%86%D8%A9-%D8%A7%D9%84%D8%AD%D8%AC%D8%B1-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A-%D8%A7%D9%84%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%88%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%B3%D9%84%D9%84%D9%88%D9%86-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%A8-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A-%D8%AE%D9%84%D8%B3%D8%A9-%D8%A7%D9%84%D8%AD%D8%A7%D9%85%D9%84%D9%88%D9%86-%D9%84%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D9%8A%D9%85%D8%AB%D9%84%D9%88%D9%86-%D8%AE%D8%B7%D8%B1%D8%A7-%D8%AD%D9%82%D9%8A%D9%82%D9%8A%D8%A7,
